#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
-184916,113,182.775683
-7223981,1106,184.018563
10664,47,184.076411
10815,48,184.143204
3261,114,184.298817
-11804,163,184.497289
-651,87,184.610983
-10161,166,184.810016
-206950,113,184.961641
-31951,127,185.117198
-167931,141,185.279979
-154551,207,185.536826
10815,48,185.605153
-485,88,185.715422
-1074229,458,186.239023
-485,88,186.349727
-3729,124,186.505313
-207669,213,186.757668
10664,47,186.823503
-625061,309,187.186663
10649,47,187.248497
24668,85,187.358201
10654,47,187.42203
10815,48,187.482868
10815,48,187.546698
-30559,199,187.788052
-281404,338,188.170046
10649,47,188.229907
24501,85,188.338613
-357146,287,188.665348
-485,88,188.779174
10815,48,188.842006
10815,48,188.906837
10815,48,188.970662
10815,48,189.035486
10815,48,189.097327
-114074,113,189.237948
-651,87,189.346657
10815,48,189.412492
-485,88,189.525181
-159962,113,189.667799
-651,87,189.771794
-119904,186,189.995798
-182715,112,190.133428
10664,47,190.206268
-116285,239,190.483662
10649,47,190.546494
-3773,124,190.6951
-106410,166,190.883598
-122476,240,191.158858
-651,87,191.263579
-48666,73,191.364844
38362,147,191.543456
-31951,127,191.702066
-1549434,571,192.338619
-607674,280,192.668737
10664,47,192.733564
10815,48,192.794402
25455,85,192.903111
-924930,431,193.390315
10664,47,193.457141
-62880,205,193.696502
-7901,164,193.888987
10815,48,193.956807
10815,48,194.022631
10815,48,194.083467
-53029,164,194.282935
-451171,155,194.499859
10644,47,194.562694
-31785,128,194.716317
10815,48,194.777153
10815,48,194.841733
-49145,239,195.123206
20507,116,195.265824
-181691,258,195.559041
10649,47,195.62686
-72515,113,195.760502
21508,150,195.938028
-245856,247,196.228144
-485,88,196.338886
10815,48,196.407702
-207039,113,196.545931
-253251,284,196.881034
-31785,128,197.043601
10815,48,197.10743
46175,117,197.25304
10664,47,197.32086
-27985,88,197.428571
